Cycle,Crack Size,da/dN,a/W,Date,Time,Pmax,Pmin,Delta P,R ratio,Kmax,Kmin,Delta K,Compliance,COD max,COD min,SP-Pmax,SP-Pmin,Step,Frequency,Baseline Pmin,Baseline Delta K, Remarks,1% Sop/Smax,2% Sop/Smax,4% Sop/Smax,1% Delta Keff,2% Delta Keff,4% Delta Keff
102778,10.068,7E-07,0.396,27-Dec-19,14:44:10,1.752,0,1.752,0,12.784,0.004,12.781,0.028823,0.033,-0.018,1.75,0,0,50,0,12.784,,0.515,0.55,0,6.199,5.757,12.784
102830,10.079,8E-07,0.397,27-Dec-19,14:44:11,1.751,-0.001,1.752,-0.001,12.787,-0.007,12.787,0.028923,0.033,-0.018,1.75,0,0,50,0,12.787,,0.432,0.555,0.791,7.261,5.688,2.679
102856,10.08,8E-07,0.397,27-Dec-19,14:44:12,1.753,0.005,1.748,0.003,12.804,0.033,12.771,0.028958,0.033,-0.018,1.75,0,0,50,0,12.804,,0.485,0.687,0,6.588,4.007,12.804
102960,10.087,8E-07,0.397,27-Dec-19,14:44:14,1.753,-0.002,1.755,-0.001,12.808,-0.013,12.808,0.028679,0.033,-0.018,1.75,0,0,50,0,12.808,,0.437,0.544,0,7.211,5.843,12.808
103064,10.087,8E-07,0.396,27-Dec-19,14:44:16,1.749,0.001,1.748,0,12.761,0.006,12.755,0.028839,0.033,-0.018,1.75,0,0,50,0,12.761,,0.442,0.465,0,7.122,6.823,12.761
103168,10.087,8E-07,0.396,27-Dec-19,14:44:18,1.753,0,1.753,0,12.775,0,12.775,0.028793,0.033,-0.018,1.75,0,0,50,0,12.775,,0.345,0.585,0.773,8.367,5.296,2.897
103272,10.087,8E-07,0.396,27-Dec-19,14:44:20,1.75,0.003,1.747,0.002,12.752,0.022,12.73,0.028839,0.033,-0.018,1.75,0,0,50,0,12.752,,0.385,0.42,0,7.84,7.393,12.752
103376,10.088,8E-07,0.397,27-Dec-19,14:44:22,1.748,0.002,1.747,0.001,12.782,0.012,12.771,0.029032,0.033,-0.018,1.75,0,0,50,0,12.782,,0.472,0.494,0,6.751,6.466,12.782
103480,10.09,9E-07,0.397,27-Dec-19,14:44:24,1.751,0.001,1.75,0,12.804,0.004,12.8,0.028792,0.033,-0.018,1.75,0,0,50,0,12.804,,0.27,0.276,0.287,9.352,9.276,9.123
103480,10.09,9E-07,0.397,27-Dec-19,14:44:24,1.751,0.001,1.75,0,12.804,0.004,12.8,0.028792,0.033,-0.018,1.75,0,0,50,0,12.804,,0.27,0.276,0.287,9.352,9.276,9.123
103532,10.102,1.09E-05,0.398,27-Dec-19,14:44:25,1.743,0.002,1.741,0.001,12.763,0.014,12.655,0.029023,0.032,-0.018,1.75,0,0,50,0,12.763,,0.474,0.491,0,6.71,6.49,12.763
103584,10.102,1.11E-05,0.397,27-Dec-19,14:44:26,1.748,0.005,1.743,0.003,12.788,0.037,12.667,0.028855,0.033,-0.018,1.75,0,0,50,0,12.788,,0.414,0,0,7.489,12.788,12.788
103688,10.102,1.15E-05,0.397,27-Dec-19,14:44:28,1.747,0.001,1.746,0.001,12.777,0.006,12.694,0.029058,0.033,-0.018,1.75,0,0,50,0,12.777,,0.446,0.46,0.489,7.083,6.899,6.532
103792,10.102,1.16E-05,0.397,27-Dec-19,14:44:30,1.747,0.001,1.747,0,12.765,0.006,12.696,0.028718,0.033,-0.018,1.75,0,0,50,0,12.765,,0.267,0.274,0.288,9.356,9.268,9.091
103896,10.102,1.2E-05,0.397,27-Dec-19,14:44:32,1.747,0,1.748,0,12.772,-0.002,12.699,0.029108,0.033,-0.018,1.75,0,0,50,0,12.772,,0.722,0.74,0.778,3.553,3.315,2.84
104000,10.103,1.2E-05,0.398,27-Dec-19,14:44:34,1.753,-0.003,1.756,-0.002,12.836,-0.023,12.74,0.029192,0.033,-0.018,1.75,0,0,50,0,12.836,,0.284,0.456,0,9.195,6.981,12.836
104052,10.117,1.56E-05,0.398,27-Dec-19,14:44:36,1.752,0.004,1.747,0.002,12.845,0.031,12.729,0.029026,0.033,-0.018,1.75,0,0,50,0,12.845,,0.439,0.459,0,7.211,6.945,12.845
104104,10.121,1.65E-05,0.398,27-Dec-19,14:44:37,1.743,0.002,1.741,0.001,12.785,0.013,12.681,0.028961,0.033,-0.018,1.75,0,0,50,0,12.785,,0.547,0,0,5.797,12.785,12.785
104130,10.127,1.67E-05,0.399,27-Dec-19,14:44:37,1.749,-0.002,1.751,-0.001,12.843,-0.011,12.744,0.02892,0.033,-0.018,1.75,0,0,50,0,12.843,,0.454,0.713,0,7.017,3.691,12.843
104208,10.127,1.77E-05,0.398,27-Dec-19,14:44:39,1.75,-0.002,1.751,-0.001,12.829,-0.013,12.745,0.028847,0.033,-0.018,1.75,0,0,50,0,12.829,,0.425,0.461,0,7.376,6.92,12.829
104312,10.127,1.78E-05,0.398,27-Dec-19,14:44:41,1.755,0.004,1.751,0.002,12.845,0.031,12.753,0.028552,0.033,-0.018,1.75,0,0,50,0,12.845,,0.445,0.477,0,7.127,6.712,12.845
104416,10.127,1.86E-05,0.398,27-Dec-19,14:44:43,1.747,0.002,1.745,0.001,12.812,0.016,12.713,0.029051,0.033,-0.018,1.75,0,0,50,0,12.812,,0.463,0,0,6.875,12.812,12.812
104520,10.127,1.85E-05,0.397,27-Dec-19,14:44:45,1.75,-0.001,1.75,0,12.804,-0.005,12.747,0.028907,0.033,-0.018,1.75,0,0,50,0,12.804,,0.468,0.74,0.771,6.812,3.334,2.934
104624,10.127,1.92E-05,0.397,27-Dec-19,14:44:47,1.745,-0.001,1.746,0,12.767,-0.005,12.715,0.028948,0.033,-0.018,1.75,0,0,50,0,12.767,,0.409,0.746,0,7.54,3.244,12.767
104728,10.127,1.9E-05,0.397,27-Dec-19,14:44:49,1.75,0.003,1.748,0.002,12.808,0.02,12.732,0.029041,0.033,-0.018,1.75,0,0,50,0,12.808,,0.461,0,0,6.897,12.808,12.808
104832,10.127,1.95E-05,0.397,27-Dec-19,14:44:51,1.746,0,1.747,0,12.777,-0.002,12.722,0.029055,0.033,-0.018,1.75,0,0,50,0,12.777,,0.44,0.47,0.799,7.157,6.767,2.573
104936,10.127,1.92E-05,0.398,27-Dec-19,14:44:53,1.751,0.004,1.747,0.002,12.834,0.03,12.724,0.028929,0.033,-0.018,1.75,0,0,50,0,12.834,,0.283,0.457,0,9.198,6.97,12.834
105040,10.127,1.95E-05,0.398,27-Dec-19,14:44:56,1.753,0.001,1.752,0,12.84,0.006,12.764,0.028878,0.033,-0.018,1.75,0,0,50,0,12.84,,0.405,0.432,0.485,7.636,7.296,6.616
105144,10.127,1.92E-05,0.398,27-Dec-19,14:44:58,1.75,0.004,1.746,0.002,12.815,0.027,12.718,0.029016,0.033,-0.018,1.75,0,0,50,0,12.815,,0.467,0,0,6.828,12.815,12.815
105248,10.127,1.94E-05,0.398,27-Dec-19,14:45:00,1.755,0.005,1.749,0.003,12.849,0.04,12.742,0.028935,0.033,-0.018,1.75,0,0,50,0,12.849,,0.452,0.464,0.488,7.04,6.888,6.584
105352,10.127,1.91E-05,0.398,27-Dec-19,14:45:02,1.749,-0.001,1.75,-0.001,12.805,-0.009,12.738,0.029083,0.032,-0.019,1.75,0,0,50,0,12.805,,0.471,0.736,0.777,6.769,3.382,2.855
105456,10.127,1.92E-05,0.398,27-Dec-19,14:45:04,1.754,0.005,1.748,0.003,12.857,0.04,12.737,0.029016,0.033,-0.018,1.75,0,0,50,0,12.857,,0.629,0.693,0,4.772,3.941,12.857
105560,10.127,1.89E-05,0.399,27-Dec-19,14:45:07,1.753,0.004,1.748,0.002,12.865,0.032,12.737,0.029334,0.033,-0.018,1.75,0,0,50,0,12.865,,0.433,0,0,7.298,12.865,12.865
105664,10.127,1.89E-05,0.399,27-Dec-19,14:45:09,1.747,0.003,1.745,0.002,12.823,0.02,12.709,0.029106,0.033,-0.018,1.75,0,0,50,0,12.823,,0,0,0,12.823,12.823,12.823
105742,10.141,2.16E-05,0.399,27-Dec-19,14:45:10,1.747,0.004,1.744,0.002,12.844,0.026,12.746,0.029105,0.033,-0.018,1.75,0,0,50,0,12.844,,0,0,0,12.844,12.844,12.844
105768,10.141,2.15E-05,0.399,27-Dec-19,14:45:11,1.75,0.002,1.748,0.001,12.859,0.014,12.778,0.029028,0.033,-0.019,1.75,0,0,50,0,12.859,,0.438,0.481,0,7.225,6.675,12.859
105872,10.141,2.15E-05,0.399,27-Dec-19,14:45:13,1.748,0.001,1.748,0,12.836,0.005,12.777,0.028842,0.033,-0.018,1.75,0,0,50,0,12.836,,0.397,0.473,0,7.738,6.761,12.836
105976,10.141,2.13E-05,0.399,27-Dec-19,14:45:15,1.747,-0.001,1.748,0,12.823,-0.006,12.772,0.029139,0.033,-0.018,1.75,0,0,50,0,12.823,,0.272,0.282,0,9.329,9.204,12.823
106080,10.141,2.12E-05,0.399,27-Dec-19,14:45:17,1.746,-0.001,1.747,-0.001,12.822,-0.008,12.765,0.02901,0.033,-0.018,1.75,0,0,50,0,12.822,,0.481,0.711,0,6.654,3.705,12.822
106184,10.145,2.29E-05,0.399,27-Dec-19,14:45:19,1.748,-0.001,1.749,-0.001,12.853,-0.007,12.796,0.029127,0.033,-0.018,1.75,0,0,50,0,12.853,,0.32,0.351,0,8.739,8.342,12.853
